date,user_id,plan,mrr,status,country,signup_date
2025-10-11,u0120,free,0,active,UK,2025-10-06
2025-10-11,u0142,free,0,active,USA,2025-10-11
2025-10-11,u0188,enterprise,299,active,USA,2025-10-11
2025-10-11,u0213,free,0,active,USA,2025-10-10
2025-10-11,u0245,free,0,active,UK,2025-10-10
2025-10-11,u0265,free,0,active,Japan,2025-10-05
2025-10-11,u0291,free,0,active,Spain,2025-10-09
2025-10-11,u0299,free,0,active,USA,2025-10-08
2025-10-11,u0338,free,0,active,USA,2025-10-09
2025-10-11,u0342,pro,29,active,USA,2025-10-05
2025-10-11,u0376,pro,29,active,USA,2025-10-09
2025-10-11,u0389,pro,29,active,France,2025-10-08
2025-10-11,u0423,free,0,active,USA,2025-10-03
2025-10-11,u0425,free,0,active,Germany,2025-10-11
2025-10-11,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-11,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-12,u0021,pro,29,active,UK,2025-10-08
2025-10-12,u0047,free,0,active,USA,2025-10-07
2025-10-12,u0077,free,0,active,USA,2025-10-09
2025-10-12,u0082,free,0,active,France,2025-10-08
2025-10-12,u0087,free,0,active,USA,2025-10-11
2025-10-12,u0094,free,0,active,USA,2025-10-08
2025-10-12,u0096,free,0,active,USA,2025-10-12
2025-10-12,u0104,free,0,trial,Spain,2025-10-09
2025-10-12,u0105,free,0,active,UK,2025-10-12
2025-10-12,u0108,pro,29,active,Japan,2025-10-05
2025-10-12,u0120,free,0,active,UK,2025-10-06
2025-10-12,u0142,free,0,active,USA,2025-10-11
2025-10-12,u0178,pro,29,active,USA,2025-10-12
2025-10-12,u0188,enterprise,299,active,USA,2025-10-11
2025-10-12,u0213,free,0,active,USA,2025-10-10
2025-10-12,u0245,free,0,active,UK,2025-10-10
2025-10-12,u0265,free,0,active,Japan,2025-10-05
2025-10-12,u0291,free,0,active,Spain,2025-10-09
2025-10-12,u0299,free,0,active,USA,2025-10-08
2025-10-12,u0338,free,0,active,USA,2025-10-09
2025-10-12,u0342,pro,29,active,USA,2025-10-05
2025-10-12,u0376,pro,29,active,USA,2025-10-09
2025-10-12,u0389,pro,29,active,France,2025-10-08
2025-10-12,u0423,free,0,active,USA,2025-10-03
2025-10-12,u0425,free,0,active,Germany,2025-10-11
2025-10-12,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-12,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-13,u0021,pro,29,active,UK,2025-10-08
2025-10-13,u0047,free,0,churned,USA,2025-10-07
2025-10-13,u0077,free,0,active,USA,2025-10-09
2025-10-13,u0082,free,0,active,France,2025-10-08
2025-10-13,u0087,free,0,active,USA,2025-10-11
2025-10-13,u0088,free,0,trial,USA,2025-10-13
2025-10-13,u0094,free,0,active,USA,2025-10-08
2025-10-13,u0096,free,0,active,USA,2025-10-12
2025-10-13,u0100,free,0,trial,USA,2025-10-13
2025-10-13,u0104,free,0,trial,Spain,2025-10-09
2025-10-13,u0105,free,0,active,UK,2025-10-12
2025-10-13,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-13,u0120,free,0,active,UK,2025-10-06
2025-10-13,u0142,free,0,active,USA,2025-10-11
2025-10-13,u0178,pro,29,active,USA,2025-10-12
2025-10-13,u0188,enterprise,299,active,USA,2025-10-11
2025-10-13,u0205,pro,0,trial,Spain,2025-10-13
2025-10-13,u0213,free,0,active,USA,2025-10-10
2025-10-13,u0245,free,0,active,UK,2025-10-10
2025-10-13,u0265,free,0,active,Japan,2025-10-05
2025-10-13,u0291,free,0,active,Spain,2025-10-09
2025-10-13,u0299,free,0,active,USA,2025-10-08
2025-10-13,u0338,free,0,active,USA,2025-10-09
2025-10-13,u0342,pro,29,active,USA,2025-10-05
2025-10-13,u0376,pro,29,active,USA,2025-10-09
2025-10-13,u0389,pro,29,active,France,2025-10-08
2025-10-13,u0421,free,0,trial,USA,2025-10-13
2025-10-13,u0423,free,0,active,USA,2025-10-03
2025-10-13,u0425,free,0,active,Germany,2025-10-11
2025-10-13,u0443,free,0,active,Spain,2025-10-13
2025-10-13,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-13,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-14,u0021,pro,29,active,UK,2025-10-08
2025-10-14,u0047,free,0,churned,USA,2025-10-07
2025-10-14,u0077,free,0,active,USA,2025-10-09
2025-10-14,u0082,free,0,active,France,2025-10-08
2025-10-14,u0087,free,0,active,USA,2025-10-11
2025-10-14,u0088,free,0,trial,USA,2025-10-13
2025-10-14,u0094,free,0,active,USA,2025-10-08
2025-10-14,u0096,free,0,active,USA,2025-10-12
2025-10-14,u0100,free,0,trial,USA,2025-10-13
2025-10-14,u0104,free,0,trial,Spain,2025-10-09
2025-10-14,u0105,free,0,active,UK,2025-10-12
2025-10-14,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-14,u0120,free,0,active,UK,2025-10-06
2025-10-14,u0142,free,0,active,USA,2025-10-11
2025-10-14,u0178,pro,29,active,USA,2025-10-12
2025-10-14,u0188,enterprise,299,active,USA,2025-10-11
2025-10-14,u0205,pro,0,trial,Spain,2025-10-13
2025-10-14,u0213,free,0,active,USA,2025-10-10
2025-10-14,u0245,free,0,active,UK,2025-10-10
2025-10-14,u0265,free,0,active,Japan,2025-10-05
2025-10-14,u0291,free,0,active,Spain,2025-10-09
2025-10-14,u0299,free,0,active,USA,2025-10-08
2025-10-14,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-14,u0338,free,0,active,USA,2025-10-09
2025-10-14,u0342,pro,29,active,USA,2025-10-05
2025-10-14,u0376,pro,29,active,USA,2025-10-09
2025-10-14,u0389,pro,29,active,France,2025-10-08
2025-10-14,u0421,free,0,trial,USA,2025-10-13
2025-10-14,u0423,free,0,active,USA,2025-10-03
2025-10-14,u0425,free,0,active,Germany,2025-10-11
2025-10-14,u0443,free,0,active,Spain,2025-10-13
2025-10-14,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-14,u0467,free,0,active,USA,2025-10-14
2025-10-14,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-15,u0021,pro,29,active,UK,2025-10-08
2025-10-15,u0032,free,0,active,France,2025-10-15
2025-10-15,u0047,free,0,churned,USA,2025-10-07
2025-10-15,u0077,free,0,active,USA,2025-10-09
2025-10-15,u0082,free,0,active,France,2025-10-08
2025-10-15,u0087,free,0,active,USA,2025-10-11
2025-10-15,u0088,free,0,trial,USA,2025-10-13
2025-10-15,u0094,free,0,active,USA,2025-10-08
2025-10-15,u0096,free,0,active,USA,2025-10-12
2025-10-15,u0100,free,0,trial,USA,2025-10-13
2025-10-15,u0104,free,0,trial,Spain,2025-10-09
2025-10-15,u0105,free,0,active,UK,2025-10-12
2025-10-15,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-15,u0120,free,0,active,UK,2025-10-06
2025-10-15,u0142,free,0,active,USA,2025-10-11
2025-10-15,u0178,pro,29,active,USA,2025-10-12
2025-10-15,u0188,enterprise,299,active,USA,2025-10-11
2025-10-15,u0205,pro,0,trial,Spain,2025-10-13
2025-10-15,u0213,free,0,active,USA,2025-10-10
2025-10-15,u0227,free,0,active,Spain,2025-10-15
2025-10-15,u0245,free,0,active,UK,2025-10-10
2025-10-15,u0265,free,0,active,Japan,2025-10-05
2025-10-15,u0291,free,0,active,Spain,2025-10-09
2025-10-15,u0299,free,0,active,USA,2025-10-08
2025-10-15,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-15,u0338,free,0,active,USA,2025-10-09
2025-10-15,u0342,pro,29,active,USA,2025-10-05
2025-10-15,u0376,pro,29,active,USA,2025-10-09
2025-10-15,u0389,pro,29,active,France,2025-10-08
2025-10-15,u0421,free,0,trial,USA,2025-10-13
2025-10-15,u0423,free,0,active,USA,2025-10-03
2025-10-15,u0425,free,0,active,Germany,2025-10-11
2025-10-15,u0429,pro,29,active,USA,2025-10-15
2025-10-15,u0443,free,0,active,Spain,2025-10-13
2025-10-15,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-15,u0467,free,0,active,USA,2025-10-14
2025-10-15,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-16,u0021,pro,29,active,UK,2025-10-08
2025-10-16,u0032,free,0,active,France,2025-10-15
2025-10-16,u0047,free,0,churned,USA,2025-10-07
2025-10-16,u0077,free,0,active,USA,2025-10-09
2025-10-16,u0082,free,0,churned,France,2025-10-08
2025-10-16,u0087,free,0,active,USA,2025-10-11
2025-10-16,u0088,free,0,trial,USA,2025-10-13
2025-10-16,u0094,free,0,active,USA,2025-10-08
2025-10-16,u0096,free,0,active,USA,2025-10-12
2025-10-16,u0100,free,0,trial,USA,2025-10-13
2025-10-16,u0104,free,0,trial,Spain,2025-10-09
2025-10-16,u0105,free,0,active,UK,2025-10-12
2025-10-16,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-16,u0120,free,0,active,UK,2025-10-06
2025-10-16,u0142,free,0,active,USA,2025-10-11
2025-10-16,u0178,pro,29,active,USA,2025-10-12
2025-10-16,u0188,enterprise,299,active,USA,2025-10-11
2025-10-16,u0191,free,0,active,UK,2025-10-16
2025-10-16,u0205,pro,0,trial,Spain,2025-10-13
2025-10-16,u0213,free,0,active,USA,2025-10-10
2025-10-16,u0227,free,0,active,Spain,2025-10-15
2025-10-16,u0245,free,0,active,UK,2025-10-10
2025-10-16,u0265,free,0,active,Japan,2025-10-05
2025-10-16,u0287,free,0,active,USA,2025-10-16
2025-10-16,u0291,free,0,active,Spain,2025-10-09
2025-10-16,u0299,free,0,active,USA,2025-10-08
2025-10-16,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-16,u0338,free,0,active,USA,2025-10-09
2025-10-16,u0342,pro,29,active,USA,2025-10-05
2025-10-16,u0371,free,0,active,USA,2025-10-16
2025-10-16,u0376,pro,29,active,USA,2025-10-09
2025-10-16,u0389,pro,29,active,France,2025-10-08
2025-10-16,u0421,free,0,trial,USA,2025-10-13
2025-10-16,u0423,free,0,active,USA,2025-10-03
2025-10-16,u0425,free,0,active,Germany,2025-10-11
2025-10-16,u0429,pro,29,active,USA,2025-10-15
2025-10-16,u0438,free,0,trial,USA,2025-10-16
2025-10-16,u0443,free,0,active,Spain,2025-10-13
2025-10-16,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-16,u0467,free,0,active,USA,2025-10-14
2025-10-16,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-17,u0021,pro,29,active,UK,2025-10-08
2025-10-17,u0032,free,0,active,France,2025-10-15
2025-10-17,u0047,free,0,churned,USA,2025-10-07
2025-10-17,u0077,free,0,active,USA,2025-10-09
2025-10-17,u0082,free,0,churned,France,2025-10-08
2025-10-17,u0087,free,0,active,USA,2025-10-11
2025-10-17,u0088,free,0,trial,USA,2025-10-13
2025-10-17,u0094,free,0,active,USA,2025-10-08
2025-10-17,u0096,free,0,active,USA,2025-10-12
2025-10-17,u0100,free,0,trial,USA,2025-10-13
2025-10-17,u0104,free,0,trial,Spain,2025-10-09
2025-10-17,u0105,free,0,active,UK,2025-10-12
2025-10-17,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-17,u0120,free,0,active,UK,2025-10-06
2025-10-17,u0142,free,0,active,USA,2025-10-11
2025-10-17,u0146,free,0,active,USA,2025-10-17
2025-10-17,u0178,pro,29,active,USA,2025-10-12
2025-10-17,u0188,enterprise,299,active,USA,2025-10-11
2025-10-17,u0191,free,0,active,UK,2025-10-16
2025-10-17,u0205,pro,0,trial,Spain,2025-10-13
2025-10-17,u0213,free,0,active,USA,2025-10-10
2025-10-17,u0227,free,0,active,Spain,2025-10-15
2025-10-17,u0245,free,0,active,UK,2025-10-10
2025-10-17,u0265,free,0,active,Japan,2025-10-05
2025-10-17,u0287,free,0,active,USA,2025-10-16
2025-10-17,u0291,free,0,active,Spain,2025-10-09
2025-10-17,u0299,free,0,active,USA,2025-10-08
2025-10-17,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-17,u0338,free,0,active,USA,2025-10-09
2025-10-17,u0342,pro,29,active,USA,2025-10-05
2025-10-17,u0371,free,0,active,USA,2025-10-16
2025-10-17,u0376,pro,29,active,USA,2025-10-09
2025-10-17,u0389,pro,29,active,France,2025-10-08
2025-10-17,u0390,pro,29,active,Brazil,2025-10-17
2025-10-17,u0404,pro,29,active,Spain,2025-10-17
2025-10-17,u0421,free,0,trial,USA,2025-10-13
2025-10-17,u0423,free,0,active,USA,2025-10-03
2025-10-17,u0425,free,0,active,Germany,2025-10-11
2025-10-17,u0429,pro,29,active,USA,2025-10-15
2025-10-17,u0438,free,0,trial,USA,2025-10-16
2025-10-17,u0443,free,0,active,Spain,2025-10-13
2025-10-17,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-17,u0467,free,0,active,USA,2025-10-14
2025-10-17,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-18,u0021,pro,29,active,UK,2025-10-08
2025-10-18,u0026,enterprise,299,active,USA,2025-10-18
2025-10-18,u0032,free,0,active,France,2025-10-15
2025-10-18,u0036,enterprise,299,active,Spain,2025-10-18
2025-10-18,u0047,free,0,churned,USA,2025-10-07
2025-10-18,u0077,free,0,active,USA,2025-10-09
2025-10-18,u0082,free,0,churned,France,2025-10-08
2025-10-18,u0087,free,0,active,USA,2025-10-11
2025-10-18,u0088,free,0,trial,USA,2025-10-13
2025-10-18,u0094,free,0,active,USA,2025-10-08
2025-10-18,u0096,free,0,active,USA,2025-10-12
2025-10-18,u0100,free,0,trial,USA,2025-10-13
2025-10-18,u0104,free,0,trial,Spain,2025-10-09
2025-10-18,u0105,free,0,active,UK,2025-10-12
2025-10-18,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-18,u0120,free,0,active,UK,2025-10-06
2025-10-18,u0142,free,0,active,USA,2025-10-11
2025-10-18,u0146,free,0,active,USA,2025-10-17
2025-10-18,u0178,pro,29,active,USA,2025-10-12
2025-10-18,u0188,enterprise,299,active,USA,2025-10-11
2025-10-18,u0191,free,0,active,UK,2025-10-16
2025-10-18,u0205,pro,0,trial,Spain,2025-10-13
2025-10-18,u0213,free,0,active,USA,2025-10-10
2025-10-18,u0227,free,0,active,Spain,2025-10-15
2025-10-18,u0245,free,0,active,UK,2025-10-10
2025-10-18,u0249,pro,29,active,USA,2025-10-18
2025-10-18,u0265,free,0,active,Japan,2025-10-05
2025-10-18,u0287,free,0,active,USA,2025-10-16
2025-10-18,u0291,free,0,active,Spain,2025-10-09
2025-10-18,u0299,free,0,active,USA,2025-10-08
2025-10-18,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-18,u0338,free,0,active,USA,2025-10-09
2025-10-18,u0342,pro,29,active,USA,2025-10-05
2025-10-18,u0371,free,0,active,USA,2025-10-16
2025-10-18,u0376,pro,29,active,USA,2025-10-09
2025-10-18,u0389,pro,29,active,France,2025-10-08
2025-10-18,u0390,pro,29,active,Brazil,2025-10-17
2025-10-18,u0404,pro,29,active,Spain,2025-10-17
2025-10-18,u0421,free,0,trial,USA,2025-10-13
2025-10-18,u0423,free,0,active,USA,2025-10-03
2025-10-18,u0425,free,0,active,Germany,2025-10-11
2025-10-18,u0429,pro,29,active,USA,2025-10-15
2025-10-18,u0438,free,0,trial,USA,2025-10-16
2025-10-18,u0443,free,0,active,Spain,2025-10-13
2025-10-18,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-18,u0467,free,0,active,USA,2025-10-14
2025-10-18,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-19,u0021,pro,29,active,UK,2025-10-08
2025-10-19,u0026,enterprise,299,active,USA,2025-10-18
2025-10-19,u0032,free,0,active,France,2025-10-15
2025-10-19,u0036,enterprise,299,active,Spain,2025-10-18
2025-10-19,u0047,free,0,churned,USA,2025-10-07
2025-10-19,u0077,free,0,active,USA,2025-10-09
2025-10-19,u0082,free,0,churned,France,2025-10-08
2025-10-19,u0087,free,0,active,USA,2025-10-11
2025-10-19,u0088,free,0,trial,USA,2025-10-13
2025-10-19,u0094,free,0,active,USA,2025-10-08
2025-10-19,u0096,free,0,active,USA,2025-10-12
2025-10-19,u0100,free,0,trial,USA,2025-10-13
2025-10-19,u0104,free,0,trial,Spain,2025-10-09
2025-10-19,u0105,free,0,active,UK,2025-10-12
2025-10-19,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-19,u0120,free,0,active,UK,2025-10-06
2025-10-19,u0142,free,0,active,USA,2025-10-11
2025-10-19,u0146,free,0,active,USA,2025-10-17
2025-10-19,u0178,pro,29,active,USA,2025-10-12
2025-10-19,u0188,enterprise,299,active,USA,2025-10-11
2025-10-19,u0191,free,0,active,UK,2025-10-16
2025-10-19,u0205,pro,0,trial,Spain,2025-10-13
2025-10-19,u0213,free,0,active,USA,2025-10-10
2025-10-19,u0227,free,0,active,Spain,2025-10-15
2025-10-19,u0245,free,0,active,UK,2025-10-10
2025-10-19,u0249,pro,29,active,USA,2025-10-18
2025-10-19,u0265,free,0,active,Japan,2025-10-05
2025-10-19,u0287,free,0,active,USA,2025-10-16
2025-10-19,u0291,free,0,active,Spain,2025-10-09
2025-10-19,u0299,free,0,active,USA,2025-10-08
2025-10-19,u0319,pro,29,active,Mexico,2025-10-19
2025-10-19,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-19,u0338,free,0,active,USA,2025-10-09
2025-10-19,u0342,pro,29,active,USA,2025-10-05
2025-10-19,u0371,free,0,active,USA,2025-10-16
2025-10-19,u0376,pro,29,active,USA,2025-10-09
2025-10-19,u0389,pro,29,active,France,2025-10-08
2025-10-19,u0390,pro,29,active,Brazil,2025-10-17
2025-10-19,u0404,pro,29,active,Spain,2025-10-17
2025-10-19,u0421,free,0,trial,USA,2025-10-13
2025-10-19,u0423,free,0,active,USA,2025-10-03
2025-10-19,u0425,free,0,churned,Germany,2025-10-11
2025-10-19,u0429,pro,29,active,USA,2025-10-15
2025-10-19,u0438,free,0,trial,USA,2025-10-16
2025-10-19,u0443,free,0,active,Spain,2025-10-13
2025-10-19,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-19,u0467,free,0,active,USA,2025-10-14
2025-10-19,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-20,u0004,free,0,active,Mexico,2025-10-20
2025-10-20,u0009,free,0,active,UK,2025-10-20
2025-10-20,u0021,pro,29,active,UK,2025-10-08
2025-10-20,u0026,enterprise,299,active,USA,2025-10-18
2025-10-20,u0032,free,0,active,France,2025-10-15
2025-10-20,u0036,enterprise,299,active,Spain,2025-10-18
2025-10-20,u0047,free,0,churned,USA,2025-10-07
2025-10-20,u0077,free,0,active,USA,2025-10-09
2025-10-20,u0082,free,0,churned,France,2025-10-08
2025-10-20,u0087,free,0,active,USA,2025-10-11
2025-10-20,u0088,free,0,trial,USA,2025-10-13
2025-10-20,u0090,free,0,trial,USA,2025-10-20
2025-10-20,u0094,free,0,active,USA,2025-10-08
2025-10-20,u0096,free,0,active,USA,2025-10-12
2025-10-20,u0100,free,0,trial,USA,2025-10-13
2025-10-20,u0104,free,0,trial,Spain,2025-10-09
2025-10-20,u0105,free,0,active,UK,2025-10-12
2025-10-20,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-20,u0120,free,0,active,UK,2025-10-06
2025-10-20,u0133,free,0,active,USA,2025-10-20
2025-10-20,u0142,free,0,active,USA,2025-10-11
2025-10-20,u0146,free,0,active,USA,2025-10-17
2025-10-20,u0178,pro,29,active,USA,2025-10-12
2025-10-20,u0188,enterprise,299,active,USA,2025-10-11
2025-10-20,u0191,free,0,active,UK,2025-10-16
2025-10-20,u0205,pro,0,trial,Spain,2025-10-13
2025-10-20,u0213,free,0,active,USA,2025-10-10
2025-10-20,u0225,free,0,active,USA,2025-10-20
2025-10-20,u0227,free,0,active,Spain,2025-10-15
2025-10-20,u0245,free,0,active,UK,2025-10-10
2025-10-20,u0249,pro,29,active,USA,2025-10-18
2025-10-20,u0265,free,0,active,Japan,2025-10-05
2025-10-20,u0287,free,0,active,USA,2025-10-16
2025-10-20,u0291,free,0,active,Spain,2025-10-09
2025-10-20,u0299,free,0,active,USA,2025-10-08
2025-10-20,u0319,pro,29,active,Mexico,2025-10-19
2025-10-20,u0330,pro,0,trial,Mexico,2025-10-14
2025-10-20,u0338,free,0,active,USA,2025-10-09
2025-10-20,u0342,pro,29,active,USA,2025-10-05
2025-10-20,u0371,free,0,active,USA,2025-10-16
2025-10-20,u0376,pro,29,active,USA,2025-10-09
2025-10-20,u0389,pro,29,active,France,2025-10-08
2025-10-20,u0390,pro,29,active,Brazil,2025-10-17
2025-10-20,u0404,pro,29,active,Spain,2025-10-17
2025-10-20,u0421,free,0,trial,USA,2025-10-13
2025-10-20,u0423,free,0,active,USA,2025-10-03
2025-10-20,u0425,free,0,churned,Germany,2025-10-11
2025-10-20,u0429,pro,29,active,USA,2025-10-15
2025-10-20,u0438,free,0,trial,USA,2025-10-16
2025-10-20,u0443,free,0,active,Spain,2025-10-13
2025-10-20,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-20,u0467,free,0,active,USA,2025-10-14
2025-10-20,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-21,u0004,free,0,active,Mexico,2025-10-20
2025-10-21,u0009,free,0,active,UK,2025-10-20
2025-10-21,u0021,pro,29,active,UK,2025-10-08
2025-10-21,u0026,enterprise,299,active,USA,2025-10-18
2025-10-21,u0032,free,0,active,France,2025-10-15
2025-10-21,u0036,enterprise,299,active,Spain,2025-10-18
2025-10-21,u0047,free,0,churned,USA,2025-10-07
2025-10-21,u0077,free,0,active,USA,2025-10-09
2025-10-21,u0082,free,0,churned,France,2025-10-08
2025-10-21,u0087,free,0,churned,USA,2025-10-11
2025-10-21,u0088,free,0,trial,USA,2025-10-13
2025-10-21,u0090,free,0,trial,USA,2025-10-20
2025-10-21,u0094,free,0,active,USA,2025-10-08
2025-10-21,u0096,free,0,active,USA,2025-10-12
2025-10-21,u0100,free,0,trial,USA,2025-10-13
2025-10-21,u0104,free,0,trial,Spain,2025-10-09
2025-10-21,u0105,free,0,active,UK,2025-10-12
2025-10-21,u0108,enterprise,299,active,Japan,2025-10-05
2025-10-21,u0120,free,0,active,UK,2025-10-06
2025-10-21,u0129,pro,29,active,USA,2025-10-21
2025-10-21,u0133,free,0,active,USA,2025-10-20
2025-10-21,u0142,free,0,active,USA,2025-10-11
2025-10-21,u0146,free,0,active,USA,2025-10-17
2025-10-21,u0178,pro,29,active,USA,2025-10-12
2025-10-21,u0188,enterprise,299,active,USA,2025-10-11
2025-10-21,u0191,free,0,active,UK,2025-10-16
2025-10-21,u0205,pro,0,trial,Spain,2025-10-13
2025-10-21,u0213,free,0,active,USA,2025-10-10
2025-10-21,u0225,free,0,active,USA,2025-10-20
2025-10-21,u0227,free,0,active,Spain,2025-10-15
2025-10-21,u0245,free,0,active,UK,2025-10-10
2025-10-21,u0249,pro,29,active,USA,2025-10-18
2025-10-21,u0265,free,0,active,Japan,2025-10-05
2025-10-21,u0269,free,0,active,Mexico,2025-10-21
2025-10-21,u0287,free,0,active,USA,2025-10-16
2025-10-21,u0291,free,0,active,Spain,2025-10-09
2025-10-21,u0299,free,0,active,USA,2025-10-08
2025-10-21,u0319,pro,29,active,Mexico,2025-10-19
