cobertura_tech,n_techs_match,diff_nivel,diff_anos,tiene_cloud_si_pide,falta_cloud,tiene_docker_si_pide,falta_docker,tiene_sql_si_pide,falta_sql,ingles_ok,llm_match,n_proyectos,anos_experiencia,score_claude,candidato_json,oferta_json
0.0,0,1,1.6,0,0,1,0,0,0,1,0,7,2.2,42,"{""nivel"": ""mid"", ""anos_experiencia"": 2.2, ""stack"": [""Kubernetes"", ""Django"", ""FastAPI"", ""sklearn"", ""AWS EC2""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 7, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.6, ""tecnologias_requeridas"": [""Celery"", ""MongoDB"", ""ChromaDB""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""edtech"", ""remoto"": true}"
0.4,2,0,1.1,0,1,0,0,1,0,1,0,2,1.6,65,"{""nivel"": ""junior"", ""anos_experiencia"": 1.6, ""stack"": [""pgvector"", ""LangGraph"", ""LangChain"", ""PostgreSQL"", ""Docker"", ""MongoDB"", ""Flask""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 2, ""n_agentes_ia"": 3, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.5, ""tecnologias_requeridas"": [""FastAPI"", ""Flask"", ""CrewAI"", ""PostgreSQL"", ""RAG""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""healthtech"", ""remoto"": false}"
0.267,4,-2,-4.1,1,0,1,0,0,0,0,1,2,1.8,15,"{""nivel"": ""junior"", ""anos_experiencia"": 1.8, ""stack"": [""pgvector"", ""RAG"", ""Flask"", ""SQLAlchemy"", ""PostgreSQL"", ""GCP BigQuery"", ""AWS EC2""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 2, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""senior"", ""anos_experiencia_min"": 5.9, ""tecnologias_requeridas"": [""AutoGen"", ""PostgreSQL"", ""MongoDB"", ""SQLAlchemy"", ""LangGraph"", ""Haystack"", ""Flask"", ""Langfuse"", ""FastAPI"", ""Redis"", ""Celery"", ""ChromaDB"", ""Docker"", ""RAG"", ""LangChain""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""consultor\u00eda"", ""remoto"": false}"
0.2,1,1,4.2,0,0,0,1,0,0,1,0,5,4.8,72,"{""nivel"": ""mid"", ""anos_experiencia"": 4.8, ""stack"": [""LangGraph"", ""Langfuse"", ""LlamaIndex"", ""Django"", ""HuggingFace"", ""Pandas"", ""AWS Lambda""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 5, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.6, ""tecnologias_requeridas"": [""LangGraph"", ""ChromaDB"", ""RAG"", ""MongoDB"", ""CrewAI""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""healthtech"", ""remoto"": true}"
0.333,1,2,5.3,1,0,1,0,0,0,1,0,12,5.6,62,"{""nivel"": ""senior"", ""anos_experiencia"": 5.6, ""stack"": [""pgvector"", ""AutoGen"", ""MongoDB"", ""PyTorch"", ""AWS Lambda"", ""GCP Cloud Run""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 12, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.3, ""tecnologias_requeridas"": [""pgvector"", ""Redis"", ""Django""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""healthtech"", ""remoto"": true}"
0.333,2,1,2.7,1,0,0,0,1,0,0,1,6,3.4,72,"{""nivel"": ""mid"", ""anos_experiencia"": 3.4, ""stack"": [""LlamaIndex"", ""AutoGen"", ""RAG"", ""Flask"", ""TensorFlow"", ""sklearn"", ""GCP Cloud Run""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 6, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.7, ""tecnologias_requeridas"": [""LangGraph"", ""AutoGen"", ""LlamaIndex"", ""Haystack"", ""ChromaDB"", ""Kubernetes""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""edtech"", ""remoto"": false}"
0.2,1,-1,-0.6,1,0,0,1,0,0,1,0,2,1.2,28,"{""nivel"": ""junior"", ""anos_experiencia"": 1.2, ""stack"": [""Langfuse"", ""Haystack"", ""Docker"", ""FastAPI"", ""Pandas"", ""XGBoost"", ""AWS Lambda""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 2, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 1.8, ""tecnologias_requeridas"": [""Kubernetes"", ""pgvector"", ""LangGraph"", ""RAG"", ""FastAPI""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""startup"", ""remoto"": false}"
0.167,1,0,-0.5,1,0,0,0,0,0,1,1,4,0.0,58,"{""nivel"": ""junior"", ""anos_experiencia"": 0.0, ""stack"": [""LangGraph"", ""AutoGen"", ""Docker"", ""Pandas"", ""Matplotlib"", ""TensorFlow"", ""Azure App Service""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""intermedio"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.5, ""tecnologias_requeridas"": [""AutoGen"", ""Kubernetes"", ""SQLAlchemy"", ""Flask"", ""RAG"", ""CrewAI""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""healthtech"", ""remoto"": false}"
0.6,6,0,1.5,0,0,1,0,0,0,1,0,4,3.7,78,"{""nivel"": ""mid"", ""anos_experiencia"": 3.7, ""stack"": [""Haystack"", ""RAG"", ""CrewAI"", ""LlamaIndex"", ""Kubernetes"", ""PostgreSQL"", ""Docker"", ""MongoDB"", ""TensorFlow"", ""GCP BigQuery""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.2, ""tecnologias_requeridas"": [""Langfuse"", ""Kubernetes"", ""CrewAI"", ""Haystack"", ""Django"", ""SQLAlchemy"", ""pgvector"", ""PostgreSQL"", ""LlamaIndex"", ""RAG""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""fintech"", ""remoto"": true}"
0.0,0,0,2.7,0,0,1,0,0,0,0,0,5,4.8,28,"{""nivel"": ""mid"", ""anos_experiencia"": 4.8, ""stack"": [""CrewAI"", ""AutoGen"", ""SQLAlchemy"", ""sklearn"", ""XGBoost"", ""HuggingFace""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 5, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.1, ""tecnologias_requeridas"": [""Flask"", ""Docker"", ""Redis"", ""RAG"", ""Django"", ""ChromaDB"", ""LangChain"", ""FastAPI"", ""Haystack""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""ecommerce"", ""remoto"": false}"
0.25,1,1,2.6,0,0,0,1,0,1,0,1,4,2.8,45,"{""nivel"": ""mid"", ""anos_experiencia"": 2.8, ""stack"": [""LangGraph"", ""Langfuse"", ""RAG"", ""Kubernetes"", ""NumPy"", ""Matplotlib"", ""TensorFlow"", ""AWS S3"", ""Azure Functions""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": false, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.2, ""tecnologias_requeridas"": [""ChromaDB"", ""SQLAlchemy"", ""Django"", ""RAG""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""startup"", ""remoto"": false}"
0.0,0,-1,-1.3,1,0,0,1,0,0,1,1,1,0.5,28,"{""nivel"": ""junior"", ""anos_experiencia"": 0.5, ""stack"": [""LangGraph"", ""SQLAlchemy"", ""Pandas"", ""AWS EC2""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": false, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 1, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 1.8, ""tecnologias_requeridas"": [""LangChain"", ""RAG"", ""Django"", ""Docker"", ""MongoDB"", ""LlamaIndex"", ""PostgreSQL""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""healthtech"", ""remoto"": true}"
0.75,3,1,1.7,0,0,0,0,0,0,1,0,4,2.4,78,"{""nivel"": ""mid"", ""anos_experiencia"": 2.4, ""stack"": [""RAG"", ""Haystack"", ""ChromaDB"", ""Docker"", ""Redis"", ""Django"", ""MongoDB"", ""XGBoost"", ""HuggingFace"", ""NumPy""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.7, ""tecnologias_requeridas"": [""Haystack"", ""Redis"", ""Docker"", ""CrewAI""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""edtech"", ""remoto"": true}"
0.25,1,1,2.8,0,0,0,1,0,1,0,0,4,3.6,52,"{""nivel"": ""mid"", ""anos_experiencia"": 3.6, ""stack"": [""RAG"", ""FastAPI"", ""PostgreSQL"", ""TensorFlow"", ""Pandas"", ""XGBoost"", ""AWS EC2""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": false, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.8, ""tecnologias_requeridas"": [""LangGraph"", ""PostgreSQL"", ""CrewAI"", ""LangChain""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": true, ""pide_llm_experience"": false, ""sector"": ""fintech"", ""remoto"": true}"
0.0,0,2,9.2,0,0,0,1,1,0,1,0,10,9.5,35,"{""nivel"": ""senior"", ""anos_experiencia"": 9.5, ""stack"": [""CrewAI"", ""LlamaIndex"", ""ChromaDB"", ""Flask"", ""Pandas"", ""sklearn"", ""TensorFlow""], ""tiene_cloud"": false, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 10, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.3, ""tecnologias_requeridas"": [""Langfuse"", ""Django"", ""LangGraph"", ""Haystack"", ""Docker""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""consultor\u00eda"", ""remoto"": true}"
0.167,1,1,3.9,0,0,1,0,1,0,1,0,7,3.9,52,"{""nivel"": ""mid"", ""anos_experiencia"": 3.9, ""stack"": [""pgvector"", ""FastAPI"", ""Kubernetes"", ""MongoDB"", ""Pandas"", ""PyTorch"", ""TensorFlow""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 7, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.0, ""tecnologias_requeridas"": [""Django"", ""LangChain"", ""Haystack"", ""Celery"", ""MongoDB"", ""Langfuse""], ""pide_cloud"": false, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""ecommerce"", ""remoto"": true}"
0.0,0,0,1.2,0,0,0,0,0,0,0,0,8,3.2,35,"{""nivel"": ""mid"", ""anos_experiencia"": 3.2, ""stack"": [""MongoDB"", ""Matplotlib"", ""GCP Cloud Run"", ""Azure Functions""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""intermedio"", ""n_proyectos_produccion"": 8, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.0, ""tecnologias_requeridas"": [""CrewAI"", ""Django"", ""LlamaIndex"", ""AutoGen"", ""FastAPI"", ""RAG"", ""Redis"", ""LangChain""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": false, ""sector"": ""healthtech"", ""remoto"": true}"
0.2,1,1,1.9,0,0,0,0,0,0,1,0,8,2.4,78,"{""nivel"": ""mid"", ""anos_experiencia"": 2.4, ""stack"": [""LangChain"", ""RAG"", ""CrewAI"", ""Redis"", ""NumPy"", ""Azure App Service"", ""AWS Lambda""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 8, ""n_agentes_ia"": 5, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.5, ""tecnologias_requeridas"": [""SQLAlchemy"", ""FastAPI"", ""Kubernetes"", ""Flask"", ""LangChain""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""healthtech"", ""remoto"": true}"
0.0,0,0,1.2,0,0,0,0,1,0,1,0,1,2.0,35,"{""nivel"": ""junior"", ""anos_experiencia"": 2.0, ""stack"": [""PostgreSQL""], ""tiene_cloud"": false, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 1, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.8, ""tecnologias_requeridas"": [""Flask"", ""Django"", ""AutoGen"", ""LlamaIndex"", ""Celery"", ""CrewAI""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""consultor\u00eda"", ""remoto"": true}"
0.333,2,2,11.5,0,1,1,0,0,0,1,0,14,12.0,72,"{""nivel"": ""senior"", ""anos_experiencia"": 12.0, ""stack"": [""LlamaIndex"", ""Langfuse"", ""pgvector"", ""RAG"", ""PostgreSQL"", ""Django"", ""MongoDB""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 14, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.5, ""tecnologias_requeridas"": [""PostgreSQL"", ""pgvector"", ""SQLAlchemy"", ""Docker"", ""Flask"", ""LangGraph""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""consultor\u00eda"", ""remoto"": false}"
